,Town,Age Group,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
33,Bethany,16-44,No,1559.0,1181.0,75.75,1107.0,71.01,,,07/21/2021
34,Bethany,45-64,No,2135.0,1394.0,65.29,1318.0,61.73,,,07/21/2021
35,Bethany,65+,No,866.0,954.0,100.0,929.0,100.0,,,07/21/2021
36,Bethel,12-15,No,1029.0,668.0,64.92,564.0,54.81,,,07/21/2021
37,Bethel,16-44,No,6649.0,4597.0,69.14,4160.0,62.57,,,07/21/2021
38,Bethel,45-64,No,6259.0,4450.0,71.1,4164.0,66.53,,,07/21/2021
39,Bethel,65+,No,2874.0,2443.0,85.0,2303.0,80.13,,,07/21/2021
40,Bethlehem,12-15,No,164.0,43.0,26.22,32.0,19.51,,,07/21/2021
41,Bethlehem,16-44,No,961.0,539.0,56.09,498.0,51.82,,,07/21/2021
42,Bethlehem,45-64,No,1390.0,746.0,53.67,698.0,50.22,,,07/21/2021
43,Bethlehem,65+,No,646.0,714.0,100.0,690.0,100.0,,,07/21/2021
44,Bloomfield,12-15,No,881.0,300.0,34.05,239.0,27.13,,,07/21/2021
45,Bloomfield,16-44,No,6284.0,3930.0,62.54,3539.0,56.32,,,07/21/2021
46,Bloomfield,45-64,No,6268.0,4501.0,71.81,4137.0,66.0,,,07/21/2021
47,Bloomfield,65+,No,5199.0,5470.0,100.0,5149.0,99.04,,,07/21/2021
48,Bolton,12-15,No,259.0,134.0,51.74,115.0,44.4,,,07/21/2021
49,Bolton,16-44,No,1524.0,1058.0,69.42,979.0,64.24,,,07/21/2021
50,Bolton,45-64,No,1723.0,1147.0,66.57,1077.0,62.51,,,07/21/2021
51,Bolton,65+,No,850.0,888.0,100.0,875.0,100.0,,,07/21/2021
52,Bozrah,12-15,No,119.0,50.0,42.02,44.0,36.97,,,07/21/2021
53,Bozrah,16-44,No,851.0,393.0,46.18,368.0,43.24,,,07/21/2021
54,Bozrah,45-64,No,902.0,573.0,63.53,544.0,60.31,,,07/21/2021
55,Bozrah,65+,No,427.0,498.0,100.0,484.0,100.0,,,07/21/2021
56,Branford,12-15,No,1110.0,554.0,49.91,479.0,43.15,,,07/21/2021
57,Branford,16-44,No,8831.0,6150.0,69.64,5730.0,64.89,,,07/21/2021
58,Branford,45-64,No,9359.0,6801.0,72.67,6423.0,68.63,,,07/21/2021
59,Branford,65+,No,6079.0,6384.0,100.0,6161.0,100.0,,,07/21/2021
60,Bridgeport,12-15,Yes,7845.0,2326.0,29.65,1699.0,21.66,,,07/21/2021
61,Bridgeport,16-44,Yes,65521.0,29434.0,44.92,25245.0,38.53,,,07/21/2021
62,Bridgeport,45-64,Yes,34783.0,24895.0,71.57,22656.0,65.14,,,07/21/2021
63,Bridgeport,65+,Yes,15163.0,13941.0,91.94,13118.0,86.51,,,07/21/2021
64,Bridgewater,12-15,No,70.0,41.0,58.57,37.0,52.86,,,07/21/2021
65,Bridgewater,16-44,No,353.0,273.0,77.34,240.0,67.99,,,07/21/2021
66,Bridgewater,45-64,No,635.0,443.0,69.76,411.0,64.72,,,07/21/2021
67,Bridgewater,65+,No,474.0,444.0,93.67,428.0,90.3,,,07/21/2021
68,Bristol,12-15,Yes,2844.0,1031.0,36.25,839.0,29.5,,,07/21/2021
