,RPT_Date,Jurisdictions,Cases,DoD_Cases,DoD_Cases_7dy,DoD_Cases_7dy_ave
443,08APR2020,ALL OK Counties,1524.0,52.0,805.0,115.0
444,09APR2020,ALL OK Counties,1684.0,160.0,805.0,115.0
445,10APR2020,ALL OK Counties,1794.0,110.0,806.0,115.14285714
446,11APR2020,ALL OK Counties,1868.0,74.0,709.0,101.28571429
447,12APR2020,ALL OK Counties,1970.0,102.0,718.0,102.57142857
448,13APR2020,ALL OK Counties,2069.0,99.0,742.0,106.0
449,14APR2020,ALL OK Counties,2184.0,115.0,712.0,101.71428571
450,15APR2020,ALL OK Counties,2263.0,79.0,739.0,105.57142857
451,16APR2020,ALL OK Counties,2357.0,94.0,673.0,96.14285714299999
452,17APR2020,ALL OK Counties,2465.0,108.0,671.0,95.85714285700001
453,18APR2020,ALL OK Counties,2570.0,105.0,702.0,100.28571429
