,County,dose_date,Janssen,Moderna,Pfizer12+,Pfizer5-11,Total Doses Administered
206,ADAMS,2021-12-02,0.0,6.0,4.0,1.0,11.0
207,ADAMS,2021-12-03,0.0,2.0,2.0,0.0,4.0
208,ADAMS,2021-12-04,0.0,0.0,1.0,0.0,1.0
209,ADAMS,2021-12-05,0.0,0.0,2.0,0.0,2.0
210,ADAMS,2021-12-06,0.0,4.0,5.0,0.0,9.0
211,ADAMS,2021-12-07,2.0,0.0,0.0,0.0,2.0
212,ADAMS,2021-12-08,0.0,3.0,2.0,0.0,5.0
213,ADAMS,2021-12-09,0.0,1.0,5.0,0.0,6.0
214,ADAMS,2021-12-10,0.0,0.0,7.0,0.0,7.0
215,BARNES,2020-12-15,0.0,0.0,1.0,0.0,1.0
216,BARNES,2020-12-16,0.0,0.0,4.0,0.0,4.0
217,BARNES,2020-12-17,0.0,0.0,9.0,0.0,9.0
218,BARNES,2020-12-18,0.0,0.0,1.0,0.0,1.0
219,BARNES,2020-12-21,0.0,7.0,20.0,0.0,27.0
220,BARNES,2020-12-22,0.0,72.0,4.0,0.0,76.0
221,BARNES,2020-12-23,0.0,26.0,3.0,0.0,29.0
222,BARNES,2020-12-24,0.0,5.0,0.0,0.0,5.0
223,BARNES,2020-12-28,0.0,56.0,0.0,0.0,56.0
224,BARNES,2020-12-29,0.0,87.0,0.0,0.0,87.0
225,BARNES,2020-12-30,0.0,30.0,0.0,0.0,30.0
226,BARNES,2020-12-31,0.0,23.0,4.0,0.0,27.0
227,BARNES,2021-01-04,0.0,6.0,1.0,0.0,7.0
228,BARNES,2021-01-05,0.0,64.0,0.0,0.0,64.0
229,BARNES,2021-01-06,0.0,56.0,9.0,0.0,65.0
230,BARNES,2021-01-07,0.0,16.0,64.0,0.0,80.0
231,BARNES,2021-01-08,0.0,11.0,6.0,0.0,17.0
232,BARNES,2021-01-09,0.0,1.0,0.0,0.0,1.0
233,BARNES,2021-01-10,0.0,0.0,1.0,0.0,1.0
234,BARNES,2021-01-11,0.0,0.0,22.0,0.0,22.0
235,BARNES,2021-01-12,0.0,27.0,8.0,0.0,35.0
236,BARNES,2021-01-13,0.0,27.0,11.0,0.0,38.0
237,BARNES,2021-01-14,0.0,57.0,9.0,0.0,66.0
238,BARNES,2021-01-15,0.0,0.0,4.0,0.0,4.0
239,BARNES,2021-01-16,0.0,0.0,2.0,0.0,2.0
240,BARNES,2021-01-19,0.0,77.0,0.0,0.0,77.0
241,BARNES,2021-01-20,0.0,92.0,1.0,0.0,93.0
242,BARNES,2021-01-21,0.0,121.0,3.0,0.0,124.0
243,BARNES,2021-01-22,0.0,57.0,98.0,0.0,155.0
244,BARNES,2021-01-23,0.0,0.0,3.0,0.0,3.0
245,BARNES,2021-01-25,0.0,35.0,0.0,0.0,35.0
246,BARNES,2021-01-26,0.0,142.0,2.0,0.0,144.0
247,BARNES,2021-01-27,0.0,122.0,2.0,0.0,124.0
248,BARNES,2021-01-28,0.0,104.0,66.0,0.0,170.0
249,BARNES,2021-01-29,0.0,64.0,1.0,0.0,65.0
250,BARNES,2021-01-30,0.0,0.0,1.0,0.0,1.0
251,BARNES,2021-02-01,0.0,7.0,1.0,0.0,8.0
252,BARNES,2021-02-02,0.0,58.0,2.0,0.0,60.0
253,BARNES,2021-02-03,0.0,84.0,6.0,0.0,90.0
254,BARNES,2021-02-04,0.0,96.0,11.0,0.0,107.0
255,BARNES,2021-02-05,0.0,134.0,11.0,0.0,145.0
256,BARNES,2021-02-06,0.0,2.0,1.0,0.0,3.0
257,BARNES,2021-02-08,0.0,15.0,0.0,0.0,15.0
258,BARNES,2021-02-09,0.0,112.0,10.0,0.0,122.0
259,BARNES,2021-02-10,0.0,87.0,0.0,0.0,87.0
260,BARNES,2021-02-11,0.0,136.0,2.0,0.0,138.0
261,BARNES,2021-02-12,0.0,17.0,146.0,0.0,163.0
262,BARNES,2021-02-13,0.0,2.0,1.0,0.0,3.0
263,BARNES,2021-02-15,0.0,1.0,0.0,0.0,1.0
264,BARNES,2021-02-16,0.0,40.0,0.0,0.0,40.0
265,BARNES,2021-02-17,0.0,83.0,6.0,0.0,89.0
266,BARNES,2021-02-18,0.0,121.0,7.0,0.0,128.0
267,BARNES,2021-02-19,0.0,86.0,0.0,0.0,86.0
268,BARNES,2021-02-20,0.0,1.0,0.0,0.0,1.0
269,BARNES,2021-02-22,0.0,22.0,1.0,0.0,23.0
270,BARNES,2021-02-23,0.0,136.0,17.0,0.0,153.0
271,BARNES,2021-02-24,0.0,219.0,20.0,0.0,239.0
272,BARNES,2021-02-25,0.0,110.0,16.0,0.0,126.0
273,BARNES,2021-02-26,0.0,78.0,5.0,0.0,83.0
274,BARNES,2021-02-27,0.0,43.0,0.0,0.0,43.0
275,BARNES,2021-02-28,0.0,1.0,0.0,0.0,1.0
276,BARNES,2021-03-01,0.0,41.0,0.0,0.0,41.0
277,BARNES,2021-03-02,0.0,60.0,13.0,0.0,73.0
278,BARNES,2021-03-03,0.0,406.0,0.0,0.0,406.0
279,BARNES,2021-03-04,0.0,89.0,6.0,0.0,95.0
280,BARNES,2021-03-05,0.0,134.0,149.0,0.0,283.0
281,BARNES,2021-03-06,0.0,2.0,0.0,0.0,2.0
282,BARNES,2021-03-08,3.0,18.0,4.0,0.0,25.0
283,BARNES,2021-03-09,3.0,105.0,3.0,0.0,111.0
284,BARNES,2021-03-10,7.0,81.0,1.0,0.0,89.0
285,BARNES,2021-03-11,3.0,92.0,6.0,0.0,101.0
286,BARNES,2021-03-12,8.0,215.0,3.0,0.0,226.0
287,BARNES,2021-03-13,42.0,2.0,0.0,0.0,44.0
288,BARNES,2021-03-15,10.0,38.0,1.0,0.0,49.0
289,BARNES,2021-03-16,2.0,17.0,30.0,0.0,49.0
290,BARNES,2021-03-17,2.0,105.0,9.0,0.0,116.0
291,BARNES,2021-03-18,0.0,13.0,10.0,0.0,23.0
292,BARNES,2021-03-19,0.0,27.0,9.0,0.0,36.0
293,BARNES,2021-03-22,0.0,22.0,23.0,0.0,45.0
294,BARNES,2021-03-23,1.0,5.0,33.0,0.0,39.0
295,BARNES,2021-03-24,0.0,206.0,42.0,0.0,248.0
296,BARNES,2021-03-25,1.0,116.0,48.0,0.0,165.0
297,BARNES,2021-03-26,0.0,69.0,148.0,0.0,217.0
298,BARNES,2021-03-27,0.0,39.0,0.0,0.0,39.0
299,BARNES,2021-03-28,0.0,1.0,0.0,0.0,1.0
300,BARNES,2021-03-29,0.0,46.0,26.0,0.0,72.0
301,BARNES,2021-03-30,0.0,41.0,8.0,0.0,49.0
302,BARNES,2021-03-31,3.0,374.0,2.0,0.0,379.0
303,BARNES,2021-04-01,7.0,104.0,13.0,0.0,124.0
304,BARNES,2021-04-02,39.0,18.0,2.0,0.0,59.0
305,BARNES,2021-04-03,5.0,0.0,0.0,0.0,5.0
306,BARNES,2021-04-05,16.0,17.0,5.0,0.0,38.0
307,BARNES,2021-04-06,12.0,17.0,20.0,0.0,49.0
308,BARNES,2021-04-07,132.0,20.0,22.0,0.0,174.0
309,BARNES,2021-04-08,2.0,53.0,9.0,0.0,64.0
310,BARNES,2021-04-09,17.0,195.0,64.0,0.0,276.0
311,BARNES,2021-04-10,2.0,0.0,68.0,0.0,70.0
312,BARNES,2021-04-12,1.0,11.0,24.0,0.0,36.0
313,BARNES,2021-04-13,0.0,29.0,36.0,0.0,65.0
314,BARNES,2021-04-14,0.0,96.0,52.0,0.0,148.0
315,BARNES,2021-04-15,0.0,10.0,33.0,0.0,43.0
316,BARNES,2021-04-16,0.0,47.0,73.0,0.0,120.0
317,BARNES,2021-04-19,0.0,0.0,39.0,0.0,39.0
318,BARNES,2021-04-20,0.0,2.0,10.0,0.0,12.0
319,BARNES,2021-04-21,0.0,14.0,3.0,0.0,17.0
320,BARNES,2021-04-22,0.0,112.0,27.0,0.0,139.0
321,BARNES,2021-04-23,0.0,1.0,1.0,0.0,2.0
322,BARNES,2021-04-25,0.0,1.0,0.0,0.0,1.0
323,BARNES,2021-04-26,3.0,2.0,2.0,0.0,7.0
324,BARNES,2021-04-27,1.0,34.0,21.0,0.0,56.0
325,BARNES,2021-04-28,1.0,28.0,6.0,0.0,35.0
326,BARNES,2021-04-29,1.0,77.0,25.0,0.0,103.0
327,BARNES,2021-04-30,1.0,5.0,3.0,0.0,9.0
328,BARNES,2021-05-01,2.0,0.0,66.0,0.0,68.0
329,BARNES,2021-05-03,8.0,6.0,47.0,0.0,61.0
330,BARNES,2021-05-04,0.0,5.0,2.0,0.0,7.0
331,BARNES,2021-05-05,2.0,6.0,32.0,0.0,40.0
332,BARNES,2021-05-06,0.0,36.0,6.0,0.0,42.0
333,BARNES,2021-05-07,9.0,9.0,75.0,0.0,93.0
334,BARNES,2021-05-09,2.0,0.0,0.0,0.0,2.0
335,BARNES,2021-05-10,3.0,10.0,13.0,0.0,26.0
336,BARNES,2021-05-11,8.0,16.0,2.0,0.0,26.0
337,BARNES,2021-05-12,0.0,2.0,6.0,0.0,8.0
338,BARNES,2021-05-13,3.0,8.0,25.0,0.0,36.0
339,BARNES,2021-05-14,4.0,35.0,8.0,0.0,47.0
340,BARNES,2021-05-15,0.0,1.0,0.0,0.0,1.0
341,BARNES,2021-05-17,3.0,8.0,9.0,0.0,20.0
342,BARNES,2021-05-18,6.0,15.0,13.0,0.0,34.0
343,BARNES,2021-05-19,1.0,1.0,10.0,0.0,12.0
344,BARNES,2021-05-20,4.0,6.0,25.0,0.0,35.0
345,BARNES,2021-05-21,1.0,10.0,79.0,0.0,90.0
346,BARNES,2021-05-22,0.0,0.0,1.0,0.0,1.0
347,BARNES,2021-05-24,1.0,6.0,12.0,0.0,19.0
348,BARNES,2021-05-25,1.0,3.0,2.0,0.0,6.0
349,BARNES,2021-05-26,3.0,17.0,14.0,0.0,34.0
350,BARNES,2021-05-27,0.0,5.0,11.0,0.0,16.0
351,BARNES,2021-05-28,5.0,11.0,27.0,0.0,43.0
352,BARNES,2021-05-31,1.0,0.0,0.0,0.0,1.0
353,BARNES,2021-06-01,2.0,12.0,3.0,0.0,17.0
354,BARNES,2021-06-02,4.0,7.0,11.0,0.0,22.0
355,BARNES,2021-06-03,0.0,5.0,11.0,0.0,16.0
356,BARNES,2021-06-04,3.0,7.0,17.0,0.0,27.0
357,BARNES,2021-06-05,0.0,0.0,1.0,0.0,1.0
358,BARNES,2021-06-07,1.0,0.0,7.0,0.0,8.0
359,BARNES,2021-06-08,5.0,2.0,8.0,0.0,15.0
360,BARNES,2021-06-09,0.0,3.0,13.0,0.0,16.0
361,BARNES,2021-06-10,0.0,6.0,3.0,0.0,9.0
362,BARNES,2021-06-11,1.0,2.0,76.0,0.0,79.0
363,BARNES,2021-06-12,0.0,0.0,1.0,0.0,1.0
364,BARNES,2021-06-14,2.0,3.0,10.0,0.0,15.0
365,BARNES,2021-06-15,3.0,2.0,4.0,0.0,9.0
366,BARNES,2021-06-16,3.0,0.0,19.0,0.0,22.0
367,BARNES,2021-06-17,0.0,4.0,8.0,0.0,12.0
368,BARNES,2021-06-18,3.0,4.0,7.0,0.0,14.0
369,BARNES,2021-06-21,0.0,3.0,2.0,0.0,5.0
370,BARNES,2021-06-22,0.0,3.0,6.0,0.0,9.0
371,BARNES,2021-06-23,4.0,1.0,6.0,0.0,11.0
372,BARNES,2021-06-24,0.0,2.0,7.0,0.0,9.0
373,BARNES,2021-06-25,1.0,7.0,10.0,0.0,18.0
374,BARNES,2021-06-26,0.0,0.0,1.0,0.0,1.0
375,BARNES,2021-06-28,0.0,5.0,6.0,0.0,11.0
376,BARNES,2021-06-29,0.0,3.0,4.0,0.0,7.0
377,BARNES,2021-06-30,1.0,1.0,12.0,0.0,14.0
378,BARNES,2021-07-01,0.0,8.0,1.0,0.0,9.0
379,BARNES,2021-07-02,0.0,3.0,3.0,0.0,6.0
380,BARNES,2021-07-06,1.0,1.0,7.0,0.0,9.0
381,BARNES,2021-07-07,1.0,3.0,7.0,0.0,11.0
382,BARNES,2021-07-08,0.0,3.0,6.0,0.0,9.0
383,BARNES,2021-07-09,4.0,0.0,2.0,0.0,6.0
384,BARNES,2021-07-12,3.0,0.0,3.0,0.0,6.0
385,BARNES,2021-07-13,0.0,3.0,3.0,0.0,6.0
