,Town,Age Group,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
286,New Milford,45-64,No,9016.0,6135,68.05,3683,40.85,04/21/2021
287,New Milford,65+,No,3969.0,4277,100.0,3547,89.37,04/21/2021
288,Newington,15-44,No,11075.0,4912,44.35,2310,20.86,04/21/2021
289,Newington,45-64,No,8866.0,6444,72.68,4347,49.03,04/21/2021
290,Newington,65+,No,5999.0,5585,93.1,5013,83.56,04/21/2021
291,Newtown,15-44,No,9019.0,4386,48.63,1653,18.33,04/21/2021
292,Newtown,45-64,No,9768.0,6678,68.37,4264,43.65,04/21/2021
293,Newtown,65+,No,4111.0,4373,100.0,3926,95.5,04/21/2021
294,Norfolk,15-44,No,456.0,143,31.36,62,13.6,04/21/2021
295,Norfolk,45-64,No,618.0,341,55.18,230,37.22,04/21/2021
296,Norfolk,65+,No,345.0,327,94.78,270,78.26,04/21/2021
297,North Branford,15-44,No,4624.0,2088,45.16,1124,24.31,04/21/2021
298,North Branford,45-64,No,4653.0,3177,68.28,2234,48.01,04/21/2021
299,North Branford,65+,No,2781.0,2767,99.5,2546,91.55,04/21/2021
300,North Canaan,15-44,No,1151.0,335,29.11,157,13.64,04/21/2021
301,North Canaan,45-64,No,906.0,380,41.94,217,23.95,04/21/2021
302,North Canaan,65+,No,662.0,343,51.81,260,39.27,04/21/2021
303,North Haven,15-44,No,7724.0,4083,52.86,1994,25.82,04/21/2021
304,North Haven,45-64,No,7402.0,5516,74.52,3787,51.16,04/21/2021
305,North Haven,65+,No,5086.0,4991,98.13,4556,89.58,04/21/2021
306,North Stonington,15-44,No,1610.0,526,32.67,220,13.66,04/21/2021
307,North Stonington,45-64,No,1916.0,960,50.1,639,33.35,04/21/2021
308,North Stonington,65+,No,925.0,855,92.43,789,85.3,04/21/2021
309,Norwalk,15-44,Yes,36349.0,13269,36.5,4434,12.2,04/21/2021
310,Norwalk,45-64,Yes,24020.0,16819,70.02,9175,38.2,04/21/2021
311,Norwalk,65+,Yes,12058.0,11663,96.72,9968,82.67,04/21/2021
312,Norwich,15-44,Yes,16433.0,3764,22.91,1713,10.42,04/21/2021
313,Norwich,45-64,Yes,10810.0,5963,55.16,3792,35.08,04/21/2021
314,Norwich,65+,Yes,5586.0,4940,88.44,4318,77.3,04/21/2021
315,Old Lyme,15-44,No,1924.0,966,50.21,406,21.1,04/21/2021
316,Old Lyme,45-64,No,2671.0,1823,68.25,1229,46.01,04/21/2021
317,Old Lyme,65+,No,1861.0,1817,97.64,1712,91.99,04/21/2021
318,Old Saybrook,15-44,No,2597.0,1378,53.06,533,20.52,04/21/2021
319,Old Saybrook,45-64,No,3410.0,2756,80.82,1841,53.99,04/21/2021
320,Old Saybrook,65+,No,2776.0,2884,100.0,2627,94.63,04/21/2021
321,Orange,15-44,Yes,4187.0,2305,55.05,1078,25.75,04/21/2021
322,Orange,45-64,Yes,4504.0,3216,71.4,2210,49.07,04/21/2021
323,Orange,65+,Yes,2865.0,2715,94.76,2496,87.12,04/21/2021
324,Oxford,15-44,No,3973.0,1639,41.25,780,19.63,04/21/2021
325,Oxford,45-64,No,4570.0,2768,60.57,1828,40.0,04/21/2021
326,Oxford,65+,No,2147.0,2417,100.0,2111,98.32,04/21/2021
327,Plainfield,15-44,Yes,5908.0,1190,20.14,605,10.24,04/21/2021
328,Plainfield,45-64,Yes,4330.0,2379,54.94,1563,36.1,04/21/2021
329,Plainfield,65+,Yes,2203.0,1990,90.33,1772,80.44,04/21/2021
330,Plainville,15-44,No,6855.0,2409,35.14,1126,16.43,04/21/2021
331,Plainville,45-64,No,5299.0,3191,60.22,2062,38.91,04/21/2021
332,Plainville,65+,No,2986.0,2751,92.13,2431,81.41,04/21/2021
333,Plymouth,15-44,No,4399.0,1193,27.12,552,12.55,04/21/2021
334,Plymouth,45-64,No,3937.0,1949,49.5,1136,28.85,04/21/2021
335,Plymouth,65+,No,1726.0,1554,90.03,1244,72.07,04/21/2021
336,Pomfret,15-44,No,1476.0,570,38.62,252,17.07,04/21/2021
337,Pomfret,45-64,No,1385.0,915,66.06,610,44.04,04/21/2021
338,Pomfret,65+,No,585.0,665,100.0,618,100.0,04/21/2021
339,Portland,15-44,No,3266.0,1408,43.11,696,21.31,04/21/2021
340,Portland,45-64,No,2994.0,1993,66.57,1353,45.19,04/21/2021
341,Portland,65+,No,1610.0,1654,100.0,1521,94.47,04/21/2021
342,Preston,15-44,No,1461.0,535,36.62,272,18.62,04/21/2021
343,Preston,45-64,No,1688.0,904,53.55,632,37.44,04/21/2021
344,Preston,65+,No,896.0,817,91.18,744,83.04,04/21/2021
345,Prospect,15-44,No,3160.0,1272,40.25,616,19.49,04/21/2021
346,Prospect,45-64,No,3253.0,1999,61.45,1385,42.58,04/21/2021
347,Prospect,65+,No,1763.0,1733,98.3,1585,89.9,04/21/2021
348,Putnam,15-44,No,3515.0,762,21.68,353,10.04,04/21/2021
349,Putnam,45-64,No,2733.0,1391,50.9,909,33.26,04/21/2021
350,Putnam,65+,No,1540.0,1401,90.97,1239,80.45,04/21/2021
351,Redding,15-44,No,2427.0,1141,47.01,368,15.16,04/21/2021
352,Redding,45-64,No,3423.0,2224,64.97,1275,37.25,04/21/2021
