,zip,status,Number,rpt_date
406,73443.0,Recovered*,868,02/01/2022
407,73444.0,Active,1 to 4,02/01/2022
408,73444.0,Deceased,1 to 4,02/01/2022
409,73444.0,Recovered*,41,02/01/2022
410,73446.0,Active,191,02/01/2022
411,73446.0,Deceased,13,02/01/2022
412,73446.0,Recovered*,2084,02/01/2022
413,73447.0,Active,30,02/01/2022
414,73447.0,Deceased,5,02/01/2022
415,73447.0,Recovered*,269,02/01/2022
416,73448.0,Active,206,02/01/2022
417,73448.0,Deceased,24,02/01/2022
418,73448.0,Recovered*,1704,02/01/2022
419,73449.0,Active,72,02/01/2022
420,73449.0,Deceased,6,02/01/2022
421,73449.0,Recovered*,724,02/01/2022
422,73450.0,Active,45,02/01/2022
423,73450.0,Deceased,1 to 4,02/01/2022
424,73450.0,Recovered*,302,02/01/2022
425,73453.0,Active,10,02/01/2022
426,73453.0,Deceased,1 to 4,02/01/2022
427,73453.0,Recovered*,158,02/01/2022
428,73455.0,Active,25,02/01/2022
429,73455.0,Deceased,1 to 4,02/01/2022
430,73455.0,Recovered*,145,02/01/2022
431,73456.0,Active,54,02/01/2022
432,73456.0,Deceased,1 to 4,02/01/2022
433,73456.0,Recovered*,407,02/01/2022
434,73458.0,Active,32,02/01/2022
435,73458.0,Deceased,1 to 4,02/01/2022
436,73458.0,Recovered*,181,02/01/2022
437,73459.0,Active,26,02/01/2022
438,73459.0,Deceased,1 to 4,02/01/2022
439,73459.0,Recovered*,326,02/01/2022
440,73460.0,Active,165,02/01/2022
441,73460.0,Deceased,28,02/01/2022
442,73460.0,Recovered*,1093,02/01/2022
443,73461.0,Active,19,02/01/2022
444,73461.0,Deceased,1 to 4,02/01/2022
445,73461.0,Recovered*,122,02/01/2022
446,73463.0,Active,70,02/01/2022
447,73463.0,Deceased,20,02/01/2022
448,73463.0,Recovered*,719,02/01/2022
449,73481.0,Active,8,02/01/2022
450,73481.0,Deceased,1 to 4,02/01/2022
451,73481.0,Recovered*,183,02/01/2022
452,73487.0,Active,1 to 4,02/01/2022
453,73487.0,Recovered*,17,02/01/2022
454,73491.0,Active,7,02/01/2022
455,73491.0,Deceased,1 to 4,02/01/2022
456,73491.0,Recovered*,158,02/01/2022
457,73501.0,Active,304,02/01/2022
458,73501.0,Deceased,69,02/01/2022
459,73501.0,Recovered*,3542,02/01/2022
460,73503.0,Active,78,02/01/2022
461,73503.0,Deceased,1 to 4,02/01/2022
462,73503.0,Recovered*,4861,02/01/2022
463,73505.0,Active,926,02/01/2022
464,73505.0,Deceased,158,02/01/2022
465,73505.0,Recovered*,9750,02/01/2022
466,73507.0,Active,417,02/01/2022
467,73507.0,Deceased,52,02/01/2022
468,73507.0,Recovered*,4221,02/01/2022
469,73520.0,Active,1 to 4,02/01/2022
470,73520.0,Recovered*,13,02/01/2022
471,73521.0,Active,498,02/01/2022
472,73521.0,Deceased,80,02/01/2022
473,73521.0,Recovered*,4458,02/01/2022
474,73526.0,Active,48,02/01/2022
475,73526.0,Deceased,6,02/01/2022
476,73526.0,Recovered*,477,02/01/2022
477,73527.0,Active,100,02/01/2022
478,73527.0,Deceased,14,02/01/2022
479,73527.0,Recovered*,1326,02/01/2022
480,73528.0,Active,10,02/01/2022
481,73528.0,Deceased,1 to 4,02/01/2022
482,73528.0,Recovered*,171,02/01/2022
483,73529.0,Active,83,02/01/2022
484,73529.0,Deceased,25,02/01/2022
485,73529.0,Recovered*,999,02/01/2022
486,73530.0,Active,6,02/01/2022
487,73530.0,Recovered*,48,02/01/2022
488,73531.0,Active,1 to 4,02/01/2022
489,73531.0,Recovered*,63,02/01/2022
490,73532.0,Active,6,02/01/2022
491,73532.0,Recovered*,129,02/01/2022
492,73533.0,Active,459,02/01/2022
493,73533.0,Deceased,100,02/01/2022
494,73533.0,Recovered*,5957,02/01/2022
495,73537.0,Active,12,02/01/2022
496,73537.0,Deceased,1 to 4,02/01/2022
497,73537.0,Recovered*,75,02/01/2022
498,73538.0,Active,121,02/01/2022
499,73538.0,Deceased,18,02/01/2022
500,73538.0,Recovered*,1643,02/01/2022
501,73539.0,Active,7,02/01/2022
502,73539.0,Recovered*,34,02/01/2022
503,73540.0,Active,12,02/01/2022
504,73540.0,Recovered*,87,02/01/2022
505,73541.0,Active,46,02/01/2022
506,73541.0,Deceased,5,02/01/2022
507,73541.0,Recovered*,678,02/01/2022
508,73542.0,Active,64,02/01/2022
509,73542.0,Deceased,22,02/01/2022
510,73542.0,Recovered*,798,02/01/2022
511,73543.0,Active,31,02/01/2022
512,73543.0,Deceased,5,02/01/2022
513,73543.0,Recovered*,387,02/01/2022
514,73544.0,Active,1 to 4,02/01/2022
515,73544.0,Deceased,1 to 4,02/01/2022
516,73544.0,Recovered*,37,02/01/2022
517,73546.0,Active,7,02/01/2022
518,73546.0,Deceased,1 to 4,02/01/2022
519,73546.0,Recovered*,192,02/01/2022
520,73547.0,Active,21,02/01/2022
521,73547.0,Deceased,8,02/01/2022
522,73547.0,Recovered*,258,02/01/2022
523,73548.0,Active,1 to 4,02/01/2022
524,73548.0,Deceased,1 to 4,02/01/2022
525,73548.0,Recovered*,88,02/01/2022
526,73549.0,Active,10,02/01/2022
527,73549.0,Deceased,1 to 4,02/01/2022
528,73549.0,Recovered*,62,02/01/2022
529,73550.0,Active,25,02/01/2022
530,73550.0,Deceased,9,02/01/2022
531,73550.0,Recovered*,414,02/01/2022
532,73551.0,Deceased,1 to 4,02/01/2022
533,73551.0,Recovered*,1 to 4,02/01/2022
534,73552.0,Active,20,02/01/2022
535,73552.0,Deceased,5,02/01/2022
536,73552.0,Recovered*,307,02/01/2022
537,73553.0,Active,1 to 4,02/01/2022
538,73553.0,Recovered*,8,02/01/2022
539,73554.0,Active,82,02/01/2022
540,73554.0,Deceased,18,02/01/2022
541,73554.0,Recovered*,731,02/01/2022
542,73555.0,Active,5,02/01/2022
543,73555.0,Recovered*,26,02/01/2022
544,73556.0,Active,6,02/01/2022
545,73556.0,Deceased,1 to 4,02/01/2022
546,73556.0,Recovered*,41,02/01/2022
547,73557.0,Active,1 to 4,02/01/2022
548,73557.0,Deceased,1 to 4,02/01/2022
549,73557.0,Recovered*,52,02/01/2022
550,73559.0,Active,14,02/01/2022
551,73559.0,Deceased,1 to 4,02/01/2022
552,73559.0,Recovered*,79,02/01/2022
553,73560.0,Active,20,02/01/2022
554,73560.0,Recovered*,155,02/01/2022
555,73562.0,Active,1 to 4,02/01/2022
556,73562.0,Deceased,1 to 4,02/01/2022
557,73562.0,Recovered*,105,02/01/2022
558,73564.0,Active,10,02/01/2022
559,73564.0,Deceased,1 to 4,02/01/2022
560,73564.0,Recovered*,99,02/01/2022
561,73565.0,Active,16,02/01/2022
562,73565.0,Deceased,1 to 4,02/01/2022
563,73565.0,Recovered*,174,02/01/2022
564,73566.0,Active,61,02/01/2022
565,73566.0,Deceased,17,02/01/2022
566,73566.0,Recovered*,293,02/01/2022
567,73567.0,Active,18,02/01/2022
568,73567.0,Deceased,1 to 4,02/01/2022
569,73567.0,Recovered*,149,02/01/2022
570,73568.0,Active,38,02/01/2022
571,73568.0,Deceased,10,02/01/2022
572,73568.0,Recovered*,280,02/01/2022
573,73569.0,Active,1 to 4,02/01/2022
574,73569.0,Deceased,1 to 4,02/01/2022
575,73569.0,Recovered*,80,02/01/2022
576,73570.0,Active,30,02/01/2022
577,73570.0,Deceased,6,02/01/2022
578,73570.0,Recovered*,207,02/01/2022
579,73571.0,Recovered*,6,02/01/2022
580,73572.0,Active,57,02/01/2022
581,73572.0,Deceased,13,02/01/2022
582,73572.0,Recovered*,774,02/01/2022
583,73573.0,Active,32,02/01/2022
584,73573.0,Deceased,11,02/01/2022
585,73573.0,Recovered*,449,02/01/2022
586,73601.0,Active,286,02/01/2022
587,73601.0,Deceased,80,02/01/2022
588,73601.0,Recovered*,2721,02/01/2022
589,73620.0,Active,21,02/01/2022
590,73620.0,Deceased,5,02/01/2022
591,73620.0,Recovered*,259,02/01/2022
592,73622.0,Active,1 to 4,02/01/2022
593,73622.0,Deceased,1 to 4,02/01/2022
594,73622.0,Recovered*,63,02/01/2022
595,73624.0,Active,59,02/01/2022
596,73624.0,Deceased,1 to 4,02/01/2022
597,73624.0,Recovered*,277,02/01/2022
598,73625.0,Active,5,02/01/2022
599,73625.0,Recovered*,82,02/01/2022
600,73626.0,Active,26,02/01/2022
601,73626.0,Deceased,1 to 4,02/01/2022
602,73626.0,Recovered*,251,02/01/2022
603,73627.0,Active,7,02/01/2022
604,73627.0,Deceased,1 to 4,02/01/2022
605,73627.0,Recovered*,103,02/01/2022
606,73628.0,Active,30,02/01/2022
607,73628.0,Deceased,1 to 4,02/01/2022
608,73628.0,Recovered*,375,02/01/2022
609,73632.0,Active,78,02/01/2022
610,73632.0,Deceased,14,02/01/2022
611,73632.0,Recovered*,752,02/01/2022
612,73638.0,Active,1 to 4,02/01/2022
613,73638.0,Recovered*,31,02/01/2022
614,73639.0,Active,5,02/01/2022
615,73639.0,Deceased,5,02/01/2022
616,73639.0,Recovered*,140,02/01/2022
617,73641.0,Active,15,02/01/2022
618,73641.0,Deceased,5,02/01/2022
619,73641.0,Recovered*,119,02/01/2022
620,73642.0,Active,1 to 4,02/01/2022
621,73642.0,Deceased,1 to 4,02/01/2022
622,73642.0,Recovered*,23,02/01/2022
623,73644.0,Active,340,02/01/2022
624,73644.0,Deceased,51,02/01/2022
625,73644.0,Recovered*,3032,02/01/2022
626,73645.0,Active,29,02/01/2022
627,73645.0,Deceased,1 to 4,02/01/2022
628,73645.0,Recovered*,262,02/01/2022
629,73646.0,Active,12,02/01/2022
630,73646.0,Deceased,1 to 4,02/01/2022
631,73646.0,Recovered*,70,02/01/2022
632,73647.0,Active,34,02/01/2022
633,73647.0,Deceased,1 to 4,02/01/2022
634,73647.0,Recovered*,199,02/01/2022
635,73650.0,Active,21,02/01/2022
636,73650.0,Deceased,1 to 4,02/01/2022
637,73650.0,Recovered*,226,02/01/2022
638,73651.0,Active,124,02/01/2022
639,73651.0,Deceased,20,02/01/2022
640,73651.0,Recovered*,728,02/01/2022
641,73654.0,Active,12,02/01/2022
642,73654.0,Deceased,8,02/01/2022
643,73654.0,Recovered*,179,02/01/2022
644,73655.0,Active,10,02/01/2022
645,73655.0,Recovered*,120,02/01/2022
646,73658.0,Active,5,02/01/2022
647,73658.0,Deceased,1 to 4,02/01/2022
648,73658.0,Recovered*,45,02/01/2022
649,73659.0,Active,1 to 4,02/01/2022
650,73659.0,Deceased,1 to 4,02/01/2022
651,73659.0,Recovered*,15,02/01/2022
652,73660.0,Active,13,02/01/2022
