,Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
24,Chaplin,No,2239.0,1427,63.73,1330,59.4,,,12/01/2021
25,Cheshire,No,28937.0,23661,81.77,21382,73.89,,,12/01/2021
26,Chester,No,4213.0,3167,75.17,2933,69.62,,,12/01/2021
27,Clinton,No,12925.0,10671,82.56,9716,75.17,,,12/01/2021
28,Colchester,No,15809.0,11914,75.36,10946,69.24,,,12/01/2021
29,Colebrook,No,1400.0,1070,76.43,970,69.29,,,12/01/2021
30,Columbia,No,5379.0,3903,72.56,3597,66.87,,,12/01/2021
31,Cornwall,No,1362.0,1202,88.25,1053,77.31,,,12/01/2021
32,Coventry,No,12407.0,9056,72.99,8324,67.09,,,12/01/2021
33,Cromwell,No,13839.0,11593,83.77,10633,76.83,,,12/01/2021
34,Danbury,Yes,84694.0,64678,76.37,56262,66.43,,,12/01/2021
35,Darien,No,21728.0,19034,87.6,15872,73.05,,,12/01/2021
36,Deep River,No,4443.0,3586,80.71,3299,74.25,,,12/01/2021
37,Derby,Yes,12339.0,11182,90.62,9334,75.65,,,12/01/2021
38,Durham,No,7165.0,5583,77.92,5153,71.92,,,12/01/2021
39,East Granby,No,5140.0,3986,77.55,3631,70.64,,,12/01/2021
40,East Haddam,No,8997.0,6405,71.19,5790,64.35,,,12/01/2021
41,East Hampton,No,12800.0,9432,73.69,8639,67.49,,,12/01/2021
42,East Hartford,Yes,49872.0,36403,72.99,32758,65.68,,,12/01/2021
43,East Haven,Yes,28569.0,19239,67.34,17628,61.7,,,12/01/2021
44,East Lyme,No,18462.0,15398,83.4,13885,75.21,,,12/01/2021
45,East Windsor,No,11668.0,7846,67.24,7138,61.18,,,12/01/2021
46,Eastford,No,1790.0,1118,62.46,1045,58.38,,,12/01/2021
47,Easton,No,7521.0,5935,78.91,5296,70.42,,,12/01/2021
48,Ellington,No,16467.0,11970,72.69,10935,66.41,,,12/01/2021
49,Enfield,Yes,43659.0,27812,63.7,25494,58.39,,,12/01/2021
50,Essex,No,6668.0,5676,85.12,5150,77.23,,,12/01/2021
51,Fairfield,No,62045.0,47944,77.27,42340,68.24,,,12/01/2021
52,Farmington,No,25497.0,22258,87.3,20129,78.95,,,12/01/2021
53,Franklin,No,1920.0,1338,69.69,1239,64.53,,,12/01/2021
54,Glastonbury,No,34482.0,29454,85.42,26392,76.54,,,12/01/2021
55,Goshen,No,2863.0,2170,75.79,1960,68.46,,,12/01/2021
56,Granby,No,11507.0,8577,74.54,7741,67.27,,,12/01/2021
57,Greenwich,No,62840.0,49682,79.06,42413,67.49,,,12/01/2021
58,Griswold,Yes,11534.0,7005,60.73,6479,56.17,,,12/01/2021
59,Groton,Yes,38436.0,25075,65.24,22719,59.11,,,12/01/2021
60,Guilford,No,22133.0,18965,85.69,16957,76.61,,,12/01/2021
61,Haddam,No,8193.0,6547,79.91,6088,74.31,,,12/01/2021
62,Hamden,No,60556.0,43285,71.48,39550,65.31,,,12/01/2021
63,Hampton,No,1842.0,1188,64.5,1101,59.77,,,12/01/2021
64,Hartford,Yes,122105.0,71126,58.25,62252,50.98,,,12/01/2021
65,Hartland,No,2120.0,1308,61.7,1203,56.75,,,12/01/2021
66,Harwinton,No,5420.0,3916,72.25,3643,67.21,,,12/01/2021
67,Hebron,No,9504.0,7186,75.61,6581,69.24,,,12/01/2021
68,Kent,No,2777.0,2511,90.42,2197,79.11,,,12/01/2021
69,Killingly,Yes,17336.0,10286,59.33,9412,54.29,,,12/01/2021
70,Killingworth,No,6364.0,4935,77.55,4575,71.89,,,12/01/2021
71,Lebanon,No,7144.0,5081,71.12,4715,66.0,,,12/01/2021
72,Ledyard,No,14621.0,10777,73.71,9742,66.63,,,12/01/2021
73,Lisbon,No,4220.0,2877,68.18,2671,63.29,,,12/01/2021
74,Litchfield,No,8094.0,6301,77.85,5689,70.29,,,12/01/2021
75,Lyme,No,2316.0,2123,91.67,1918,82.82,,,12/01/2021
76,Madison,No,18030.0,15592,86.48,13903,77.11,,,12/01/2021
77,Manchester,Yes,57584.0,41753,72.51,37881,65.78,,,12/01/2021
78,Mansfield,No,25487.0,11012,43.21,9941,39.0,,,12/01/2021
79,Marlborough,No,6335.0,4896,77.28,4451,70.26,,,12/01/2021
80,Meriden,Yes,59395.0,42348,71.3,38546,64.9,,,12/01/2021
81,Middlebury,No,7798.0,6103,78.26,5562,71.33,,,12/01/2021
82,Middlefield,No,4374.0,3289,75.19,3044,69.59,,,12/01/2021
83,Middletown,Yes,46258.0,35827,77.45,32725,70.74,,,12/01/2021
84,Milford,Yes,54747.0,40769,74.47,37600,68.68,,,12/01/2021
85,Monroe,No,19434.0,14984,77.1,13598,69.97,,,12/01/2021
86,Montville,Yes,18508.0,12468,67.37,11402,61.61,,,12/01/2021
87,Morris,No,2254.0,1611,71.47,1463,64.91,,,12/01/2021
88,Naugatuck,No,31108.0,21187,68.11,19292,62.02,,,12/01/2021
89,New Britain,Yes,72495.0,43352,59.8,39451,54.42,,,12/01/2021
90,New Canaan,No,20233.0,18023,89.08,14905,73.67,,,12/01/2021
91,New Fairfield,No,13878.0,10137,73.04,8856,63.81,,,12/01/2021
92,New Hartford,No,6656.0,4870,73.17,4460,67.01,,,12/01/2021
93,New Haven,Yes,130250.0,86983,66.78,77380,59.41,,,12/01/2021
94,New London,Yes,26858.0,17695,65.88,15946,59.37,,,12/01/2021
95,New Milford,No,26805.0,20820,77.67,18930,70.62,,,12/01/2021
96,Newington,No,30014.0,23383,77.91,21733,72.41,,,12/01/2021
97,Newtown,No,27891.0,21800,78.16,19643,70.43,,,12/01/2021
98,Norfolk,No,1630.0,1173,71.96,1050,64.42,,,12/01/2021
99,North Branford,No,14146.0,11209,79.24,10314,72.91,,,12/01/2021
100,North Canaan,No,3251.0,1996,61.4,1804,55.49,,,12/01/2021
101,North Haven,No,23683.0,20570,86.86,18953,80.03,,,12/01/2021
102,North Stonington,No,5196.0,3337,64.22,3100,59.66,,,12/01/2021
103,Norwalk,Yes,88816.0,70649,79.55,62625,70.51,,,12/01/2021
104,Norwich,Yes,38768.0,25739,66.39,23291,60.08,,,12/01/2021
105,Old Lyme,No,7306.0,6224,85.19,5607,76.75,,,12/01/2021
106,Old Saybrook,No,10061.0,9112,90.57,8216,81.66,,,12/01/2021
107,Orange,Yes,13926.0,11481,82.44,10425,74.86,,,12/01/2021
108,Oxford,No,13255.0,9569,72.19,8819,66.53,,,12/01/2021
109,Plainfield,Yes,15125.0,8947,59.15,8186,54.12,,,12/01/2021
110,Plainville,No,17534.0,12435,70.92,11509,65.64,,,12/01/2021
111,Plymouth,No,11598.0,7239,62.42,6745,58.16,,,12/01/2021
112,Pomfret,No,4203.0,3013,71.69,2708,64.43,,,12/01/2021
113,Portland,No,9267.0,7352,79.34,6676,72.04,,,12/01/2021
114,Preston,No,4625.0,3227,69.77,3034,65.6,,,12/01/2021
115,Prospect,No,9702.0,6939,71.52,6415,66.12,,,12/01/2021
116,Putnam,No,9389.0,5724,60.96,5158,54.94,,,12/01/2021
117,Redding,No,9116.0,6934,76.06,6077,66.66,,,12/01/2021
118,Resident out of state,,,117261,,75775,,,,12/01/2021
119,Ridgefield,No,24959.0,20477,82.04,17793,71.29,,,12/01/2021
120,Rocky Hill,No,20115.0,16126,80.17,14780,73.48,,,12/01/2021
121,Roxbury,No,2152.0,1817,84.43,1609,74.77,,,12/01/2021
122,Salem,No,4083.0,3100,75.92,2820,69.07,,,12/01/2021
123,Salisbury,No,3600.0,3586,99.61,3176,88.22,,,12/01/2021
124,Scotland,No,1672.0,998,59.69,936,55.98,,,12/01/2021
125,Seymour,No,16437.0,11666,70.97,10768,65.51,,,12/01/2021
126,Sharon,No,2689.0,1907,70.92,1709,63.56,,,12/01/2021
127,Shelton,No,41129.0,30833,74.97,28658,69.68,,,12/01/2021
128,Sherman,No,3630.0,2506,69.04,2214,60.99,,,12/01/2021
129,Simsbury,No,25395.0,20994,82.67,18574,73.14,,,12/01/2021
130,Somers,No,10784.0,7013,65.03,6410,59.44,,,12/01/2021
131,South Windsor,No,26162.0,21660,82.79,19668,75.18,,,12/01/2021
132,Southbury,No,19571.0,15493,79.16,14011,71.59,,,12/01/2021
133,Southington,No,43834.0,33574,76.59,31051,70.84,,,12/01/2021
134,Sprague,No,2859.0,1764,61.7,1639,57.33,,,12/01/2021
135,Stafford,No,11893.0,7070,59.45,6454,54.27,,,12/01/2021
136,Stamford,Yes,129638.0,106910,82.47,93370,72.02,,,12/01/2021
137,Sterling,No,3782.0,1939,51.27,1780,47.07,,,12/01/2021
138,Stonington,No,18559.0,14190,76.46,12950,69.78,,,12/01/2021
139,Stratford,No,51849.0,37515,72.35,34511,66.56,,,12/01/2021
140,Suffield,No,15814.0,11102,70.2,10081,63.75,,,12/01/2021
141,Thomaston,No,7535.0,5294,70.26,4927,65.39,,,12/01/2021
142,Thompson,No,9379.0,4796,51.14,4350,46.38,,,12/01/2021
143,Tolland,No,14618.0,11356,77.69,10411,71.22,,,12/01/2021
144,Torrington,Yes,34044.0,24327,71.46,22399,65.79,,,12/01/2021
145,Trumbull,No,35673.0,29479,82.64,26652,74.71,,,12/01/2021
146,Union,No,839.0,530,63.17,505,60.19,,,12/01/2021
